point_x, point_y, eye_x, eye_y
97.60001,494.1,852.2344,446.4196
97.60001,494.1,854.1807,443.8915
97.60001,494.1,853.5414,443.1366
97.60001,494.1,854.6166,444.9238
97.60001,494.1,855.367,446.264
97.60001,494.1,856.3311,447.2986
97.60001,494.1,857.196,448.1648
97.60001,494.1,857.023,448.1204
97.60001,494.1,856.8794,446.4268
97.60001,494.1,856.5805,445.7173
97.60001,494.1,856.8903,447.9831
97.60001,494.1,856.1284,448.8576
97.60001,494.1,862.5023,474.0353
97.60001,494.1,858.0397,473.7716
97.60001,494.1,816.0822,475.5217
97.60001,494.1,738.3391,472.4196
97.60001,494.1,590.1333,463.5054
97.60001,494.1,507.9665,457.8973
97.60001,494.1,226.7288,448.2839
97.60001,494.1,217.5348,443.7287
97.60001,494.1,225.1618,430.5605
97.60001,494.1,230.1988,421.1554
97.60001,494.1,234.028,411.441
97.60001,494.1,235.3223,410.3721
97.60001,494.1,236.0802,409.1479
97.60001,494.1,239.0302,406.5414
97.60001,494.1,236.6165,381.6932
97.60001,494.1,236.6165,381.6932
97.60001,494.1,236.6165,381.6932
97.60001,494.1,236.6165,381.6932
97.60001,494.1,236.6165,381.6932
97.60001,494.1,236.6165,381.6932
97.60001,494.1,236.6165,381.6932
97.60001,494.1,236.6165,381.6932
97.60001,494.1,235.8072,499.12
97.60001,494.1,233.5027,501.8823
97.60001,494.1,233.9148,502.6903
97.60001,494.1,233.7859,503.0054
97.60001,494.1,233.8305,501.9645
97.60001,494.1,232.9317,499.418
97.60001,494.1,232.4626,499.4856
97.60001,494.1,230.5162,501.9132
97.60001,494.1,227.3058,503.301
97.60001,494.1,215.9707,504.7715
97.60001,494.1,210.6076,504.5905
97.60001,494.1,205.2383,504.6294
97.60001,494.1,205.0741,504.4584
97.60001,494.1,204.6546,504.7097
97.60001,494.1,204.2976,505.3508
97.60001,494.1,204.17,507.3542
97.60001,494.1,204.3984,508.1324
97.60001,494.1,204.5461,509.2606
97.60001,494.1,203.8971,509.5575
97.60001,494.1,202.7019,509.4127
97.60001,494.1,203.0179,508.9016
97.60001,494.1,203.8592,508.2672
97.60001,494.1,204.04,507.8559
97.60001,494.1,204.3082,506.2593
97.60001,494.1,205.0052,506.008
97.60001,494.1,206.8695,506.4585
97.60001,494.1,207.0501,507.1649
97.60001,494.1,206.0917,508.2367
97.60004,494.1,205.2296,507.7544
97.60004,494.1,205.1535,505.9949
97.60004,494.1,205.8894,504.993
97.6001,494.1,208.0716,504.2152
97.60013,494.1,208.9233,504.4908
